Class,Subclass,SubclassCategory,Commands,Response,Label,Subclass_Label_Category
Bike,Cloud,Songs/media,"   Play ""XYZ"" by ""ABC""","Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play my favorite song.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Start playing music.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Shuffle my playlist.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play the latest track.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Listen to an artist's top hits.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Show me new albums.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Find songs by genre.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play a podcast episode.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Shuffle my favorite tunes.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Start a video playlist.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Repeat this track.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Skip to the next song.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Show me music videos.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Discover new artists.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play something entertaining.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Search for upbeat tracks.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Listen to the latest album.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play a random song.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Show me popular tracks.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Tune in to a radio station.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Can you play some background music?,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Recommend some relaxing tunes.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Find me a podcast on productivity.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play an audiobook.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Create a custom playlist.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Tune in to a live radio station.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Shuffle my workout playlist.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play some classical music.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Start a meditation track.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Listen to a comedy show.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Explore ambient sounds.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Show me recent music releases.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Launch the firmware update for your bike,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Recommend a podcast episode.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Curate a study music mix.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play some instrumental music.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Show me trending music charts.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Listen to a live DJ set.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Find me a podcast on history.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Discover new indie artists.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Initiate a music session.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Dive into the tunes.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Let's groove with some music.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Commence the audio journey.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Set the mood with music.,"Please wait, your request is been processed.",1,0
Bike,Cloud,Songs/media,Play some ambient music.,"Please wait, your request is been processed.",1,0
