Class,Subclass,SubclassCategory,Commands,Response,Label
Bike,Edge,Battery,What is my current battery level?,Updating please wait,1
Bike,Edge,Battery,How much range do I have left on my battery?,Updating please wait,1
Bike,Edge,Battery,When was the last time my battery was charged?,Updating please wait,1
Bike,Edge,Battery,How long until my battery is fully charged?,Updating please wait,1
Bike,Edge,Battery,How long should I charge my vehicle for a sufficient range?,Updating please wait,1
Bike,Edge,Battery,What's the charging status right now?,Updating please wait,1
Bike,Edge,Battery,Is the battery performance affected by weather conditions?,Updating please wait,1
Bike,Edge,Battery,Can you provide a breakdown of energy consumption for my recent rides?,Updating please wait,1
Bike,Edge,Battery,Are there any tips for maximizing battery efficiency during uphill climbs?,Updating please wait,1
Bike,Edge,Battery,Can I receive notifications when my battery needs to be replaced or serviced?,Updating please wait,1
Bike,Edge,Battery,Is there an option to track the historical performance of my battery over time?,Updating please wait,1
Bike,Edge,Battery,Can I customize the charging profile to accommodate different power sources?,Updating please wait,1
Bike,Edge,Battery,Are there any accessories available to optimize battery cooling during rides?,Updating please wait,1
Bike,Edge,Battery,Can I set reminders for regular battery health checkups or diagnostics?,Updating please wait,1
Bike,Edge,Battery,How does the battery's state of charge impact the bike's power output?,Updating please wait,1
Bike,Edge,Battery,Can I access detailed statistics on battery usage and efficiency?,Updating please wait,1
Bike,Edge,Battery,Is there a feature to adjust power settings to conserve battery on long rides?,Updating please wait,1
Bike,Edge,Battery,Can I receive real-time alerts if my battery experiences abnormal behavior?,Updating please wait,1
Bike,Edge,Battery,Are there any recommended practices for storing spare batteries safely?,Updating please wait,1
Bike,Edge,Battery,Can you provide guidance on optimizing battery performance during cold weather?,Updating please wait,1
Bike,Edge,Battery,How can I assess the impact of my riding style on battery longevity?,Updating please wait,1
Bike,Edge,Battery,Are there any eco-friendly charging options or renewable energy sources?,Updating please wait,1
Bike,Edge,Battery,Can I monitor the temperature of my battery during charging and operation?,Updating please wait,1
Bike,Edge,Battery,Is there an option to remotely check the battery status through a mobile app?,Updating please wait,1
Bike,Edge,Battery,Can I view a forecast of my battery's expected performance for upcoming rides?,Updating please wait,1
Bike,Edge,Battery,"How do different modes of transportation (e.g., city vs. highway) affect battery usage?",Updating please wait,1
Bike,Edge,Battery,How much battery life do I have left?,You currently have [percentage]% battery life remaining.,1
Bike,Edge,Battery,Can you estimate my remaining range?,Your estimated remaining range is [range] miles/kilometers.,1
Bike,Edge,Battery,When was my battery last charged?,Your battery was last charged on [date].,1
Bike,Edge,Battery,How long will it take to fully charge my battery?,It will take approximately [time] to fully charge your battery.,1
Bike,Edge,Battery,Is it safe to start a trip with my current battery level?,"Yes, it's safe to start your trip with your current battery level.",1
Bike,Edge,Battery,What's the average range I get on a full charge?,The average range on a full charge is [range] miles/kilometers.,1
Bike,Edge,Battery,Are there any maintenance alerts related to the battery?,"No, there are no maintenance alerts related to the battery.",1
Bike,Edge,Battery,Can you recommend a charging station nearby?,"Yes, there's a charging station located at [location].",1
Bike,Edge,Battery,How long should I charge my vehicle for sufficient range?,Charge your vehicle for approximately [time] for sufficient range.,1
Bike,Edge,Battery,What's the current charging status?,The current charging status is [status].,1
Bike,Edge,Battery,Can I set a reminder for charging my vehicle later?,"Yes, I'll set a reminder for charging your vehicle later.",1
Bike,Edge,Battery,How often should I check and maintain my battery?,It's recommended to check and maintain your battery every [frequency].,1
Bike,Edge,Battery,Is battery performance affected by weather conditions?,"Yes, battery performance can be affected by extreme weather conditions.",1
Bike,Edge,Battery,Can I start charging remotely?,"Yes, you can start charging your vehicle remotely.",1
Bike,Edge,Battery,What's the optimal battery level for long-term health?,The optimal battery level for long-term health is between [range]% and [range]%.,1
Bike,Edge,Battery,Is there a fast-charging option available nearby?,"Yes, there's a fast-charging option available at [location].",1
Bike,Edge,Battery,How does my battery level impact overall vehicle performance?,Your battery level affects overall vehicle performance; higher levels provide better performance.,1
Bike,Edge,Battery,Can I get notifications for low battery levels?,"Yes, you'll receive notifications for low battery levels.",1
Bike,Edge,Battery,How can I extend the lifespan of my battery?,You can extend your battery's lifespan by [tips].,1
Bike,Edge,Battery,Are there any software updates for battery optimization?,"Yes, there are software updates available for battery optimization.",1
Bike,Edge,Battery,Can I schedule charging during off-peak hours?,"Yes, you can schedule charging during off-peak hours for cost-effectiveness.",1
Bike,Edge,Battery,What's the expected lifespan of my vehicle's battery?,The expected lifespan of your vehicle's battery is approximately [years].,1
Bike,Edge,Battery,Is it safe to charge my vehicle overnight?,"Yes, it's safe to charge your vehicle overnight.",1
Bike,Edge,Battery,How do I interpret the battery health indicator?,The battery health indicator shows the current health of your battery; [explanation].,1
Bike,Edge,Battery,Can you recommend energy-efficient driving tips?,"Yes, I can recommend energy-efficient driving tips; [tips].",1
Bike,Edge,Battery,What's the best practice for storing my vehicle with a full battery?,The best practice for storing your vehicle with a full battery is to [practice].,1
Bike,Edge,Battery,How can I maximize energy regeneration during braking?,You can maximize energy regeneration during braking by [tips].,1
Bike,Edge,Battery,Kindly find eco-friendly charging options available nearby?,"Yes, there are eco-friendly charging options available at [locations].",1
Bike,Edge,Battery,Can I get a detailed report on my battery usage history?,"Yes, you can get a detailed report on your battery usage history.",1
Bike,Edge,Battery,"Given my destination and current traffic conditions, will I have enough battery to reach it?",Let me calculate your estimated battery usage based on your destination and traffic conditions.,1
Bike,Edge,Battery,"What is the farthest I can realistically drive on a single charge, considering weather and traffic conditions?","I'll provide an estimate of your maximum range, factoring in weather, traffic, and other conditions.",1
Bike,Edge,Battery,Can you provide an estimate of how far I can travel with my current battery level?,"Sure, I'll estimate the distance you can travel based on your current battery level.",1
Bike,Edge,Battery,How does my battery's health impact my bike's performance?,Your battery's health affects your bike's performance; I'll explain how.,1
Bike,Edge,Battery,Can I optimize my battery's charging schedule to reduce wear?,"Yes, you can optimize your charging schedule to extend battery life; I'll provide guidance on how to do that.",1
Bike,Edge,Battery,Are there any recommended maintenance tasks for preserving battery life?,There are maintenance tasks to preserve battery life; I'll list them for you.,1
Bike,Edge,Battery,Can you suggest ways to improve my bike's energy efficiency?,I'll provide tips to improve your bike's energy efficiency.,1
Bike,Edge,Battery,Is there a feature to automatically adjust charging based on electricity rates?,"Yes, there's a feature to adjust charging based on electricity rates; I'll explain how to use it.",1
Bike,Edge,Battery,Can I receive alerts for abnormal battery behavior or degradation?,"Yes, you can receive alerts for abnormal battery behavior or degradation; I'll guide you on setting it up.",1
Bike,Edge,Battery,What factors contribute to the degradation of my bike's battery over time?,Several factors contribute to battery degradation; I'll explain each one.,1
Bike,Edge,Battery,Are there any energy-saving modes or settings I can enable?,"Yes, there are energy-saving modes and settings; I'll show you how to enable them.",1
Bike,Edge,Battery,Can you recommend the best charging practices to extend my battery's lifespan?,I'll provide recommendations for the best charging practices to extend your battery's lifespan.,1
Bike,Edge,Battery,How does temperature affect my battery's performance and longevity?,Temperature impacts battery performance and longevity; I'll explain how.,1
Bike,Edge,Battery,Can I check the history of my battery's charging cycles?,"Yes, you can check your battery's charging cycle history; I'll show you how.",1
Bike,Edge,Battery,Is there a way to analyze my riding habits and their impact on battery life?,"Yes, you can analyze your riding habits and their impact on battery life; I'll explain how.",1
Bike,Edge,Battery,Are there any firmware updates available to optimize battery management?,"Yes, there are firmware updates to optimize battery management; I'll guide you on checking for updates.",1
Bike,Edge,Battery,Can you provide insights into the efficiency of my bike's regenerative braking system?,I'll provide insights into the efficiency of your bike's regenerative braking system.,1
Bike,Edge,Battery,Is it advisable to charge my bike's battery to full capacity regularly?,I'll explain whether it's advisable to charge your bike's battery to full capacity regularly.,1
Bike,Edge,Battery,Can I set preferences for charging thresholds to balance battery health and range?,"Yes, you can set preferences for charging thresholds; I'll guide you on how to do it.",1
Bike,Edge,Battery,How does battery degradation vary based on different riding conditions?,Battery degradation varies based on riding conditions; I'll explain the differences.,1
Bike,Edge,Battery,"How many charging cycles has my battery gone through, and how does that compare to its expected lifespan?",Your battery has gone through [number] charging cycles; I'll compare it to the expected lifespan.,1
Bike,Edge,Battery,Can you provide insights into battery degradation over time?,"Yes, I can provide insights into how your battery degrades over time.",1
Bike,Edge,Battery,Is it recommended to use fast charging regularly?,Fast charging should be used sparingly to prevent accelerated battery degradation.,1
Bike,Edge,Battery,Can you suggest ways to mitigate battery degradation?,"Certainly, I'll provide you with strategies to mitigate battery degradation.",1
Bike,Edge,Battery,How does battery degradation impact overall vehicle performance?,Battery degradation can lead to decreased performance over time; I'll explain the impact.,1
Bike,Edge,Battery,Can you analyze my recent battery usage trends?,"Yes, I can analyze your recent battery usage trends to provide insights.",1
Bike,Edge,Battery,Are there any specific maintenance tasks I should perform to prolong battery life?,"Yes, there are specific maintenance tasks to prolong battery life; I'll outline them for you.",1
Bike,Edge,Battery,Can you recommend a reliable brand for battery replacements?,"Certainly, I'll recommend a reliable brand for battery replacements based on your preferences.",1
Bike,Edge,Battery,How can I assess the health of my battery?,I'll provide you with methods to assess the health of your battery accurately.,1
Bike,Edge,Battery,Can you explain the warranty coverage for my vehicle's battery?,"Yes, I'll explain the warranty coverage for your vehicle's battery in detail.",1
Bike,Edge,Battery,Can you provide insights into the charging efficiency of different charging stations?,"Yes, I can provide insights into the charging efficiency of different charging stations based on user reviews.",1
Bike,Edge,Battery,What should I do if my battery is not holding a charge?,"If your battery is not holding a charge, I'll provide troubleshooting steps to resolve the issue.",1
Bike,Edge,Battery,Can I optimize my driving habits to conserve battery?,"Yes, optimizing your driving habits can help conserve battery; I'll provide tips.",1
Bike,Edge,Battery,Is there an eco mode that optimizes battery usage?,"Yes, there's an eco mode that optimizes battery usage for extended range.",1
Bike,Edge,Battery,Can you recommend battery maintenance tools and accessories?,"Certainly, I'll recommend battery maintenance tools and accessories to keep your battery in top condition.",1
Bike,Edge,Battery,How do I recalibrate my battery for accurate range estimation?,I'll guide you through the process of recalibrating your battery for accurate range estimation.,1
Bike,Edge,Battery,Can you provide insights into battery chemistry and its impact on performance?,"Yes, I can provide insights into battery chemistry and how it affects performance.",1
Bike,Edge,Battery,Is it safe to charge my battery in extreme temperatures?,Charging your battery in extreme temperatures can affect its health; I'll explain the risks.,1
Bike,Edge,Battery,Can you recommend a charging strategy for long-term battery health?,"Yes, I'll recommend a charging strategy to optimize long-term battery health.",1
Bike,Edge,Battery,How does my driving speed affect battery consumption?,Driving speed has a significant impact on battery consumption; I'll explain the correlation.,1
Bike,Edge,Battery,Can I use regenerative braking to extend battery range?,"Yes, regenerative braking can extend battery range by capturing energy during braking; I'll explain how to maximize its effectiveness.",1
Bike,Edge,Battery,Can you analyze my recent battery performance to identify any anomalies?,"Yes, I can analyze your recent battery performance and identify any anomalies.",1
Bike,Edge,Battery,What should I do if I notice rapid battery degradation?,"If you notice rapid battery degradation, I'll provide troubleshooting steps and recommend seeking professional assistance.",1
Bike,Edge,Battery,Can you recommend a battery maintenance schedule for optimal performance?,"Certainly, I'll recommend a battery maintenance schedule to ensure optimal performance and longevity.",1
Bike,Edge,Battery,How does battery capacity degrade over time?,Battery capacity degrades over time due to various factors; I'll explain the degradation process.,1
Bike,Edge,Fuel,Check current Fuel Level,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Start Engine,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Stop Engine,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Refuel,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Efficiency Report,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Reserve Fuel Activation,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Deactivate Reserve Fuel,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Tank Lock,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Unlock Fuel Tank,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Consumption History,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Low Fuel Warning,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Gauge Calibration,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Check Fuel Quality,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Tank Ventilation,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Emergency Fuel Cut-Off,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Pump Activation,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Injector Test,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel System Diagnostics,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Cap Status,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Additive Usage,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Filter Check,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Pressure Check,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Tank Capacity,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Tank Draining,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Level Sensor Test,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Injection Timing,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Line Inspection,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Pump Relay Test,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel Pump Shutdown,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Fuel System Flush,Processing your fuel related command please wait,1
Bike,Edge,Fuel,How much fuel do I have left?,Processing your fuel related command please wait,1
Bike,Edge,Fuel,When was the last time I refueled?,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Is it time to refuel?,Processing your fuel related command please wait,1
Bike,Edge,Fuel,What is my current fuel level?,Processing your fuel related command please wait,1
Bike,Edge,Fuel,How far can I go on the remaining fuel?,Processing your fuel related command please wait,1
Bike,Edge,Fuel,Can you check the fuel gauge for me?,Processing your fuel related command please wait,1
